model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,artifact_confusion_matrix,artifact_roc_curve
logistic_regression_tracking,0.8346088435374149,0.8597787948131197,0.7652173913043478,0.808087495160666,0.8988772901816379,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502164,C:\Users\RA7628\Downloads\Bits pilani\Bits traning session\Sem-3\Mlops\Assignment-1\Ass1 ans\heart-disease-mlops-assignment\artifacts\experiment_tracking\logistic_regression_tracking_confusion_matrix.png,C:\Users\RA7628\Downloads\Bits pilani\Bits traning session\Sem-3\Mlops\Assignment-1\Ass1 ans\heart-disease-mlops-assignment\artifacts\experiment_tracking\logistic_regression_tracking_roc_curve.png
random_forest_tracking,0.8055272108843538,0.8139915966386555,0.7470355731225296,0.7767725028594594,0.9028940463723073,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9502164502164503,C:\Users\RA7628\Downloads\Bits pilani\Bits traning session\Sem-3\Mlops\Assignment-1\Ass1 ans\heart-disease-mlops-assignment\artifacts\experiment_tracking\random_forest_tracking_confusion_matrix.png,C:\Users\RA7628\Downloads\Bits pilani\Bits traning session\Sem-3\Mlops\Assignment-1\Ass1 ans\heart-disease-mlops-assignment\artifacts\experiment_tracking\random_forest_tracking_roc_curve.png
