model,best_cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_params
logistic_regression_tuned,0.8988772901816379,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502164,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}"
random_forest_tuned,0.9028940463723073,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9502164502164503,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}"
